unassigned,3488916070
TMv,539010
SSp-m,571270
cst,11875690
PSV,5530380
SSp-tr,1164530
SCm,10187520
IF,433980
PT,1149760
SCm,10449050
IG,628450
ENTl,8022080
AAA,2471850
SCm,5974140
IGL,342100
ENTl,5243380
PVa,253910
VISp,5354320
III,162660
GU,981230
PVH,943750
VISpm,1461030
SCm,1651460
PAG,853530
ENTl,6585400
mfsbshy,246720
ACB,22006830
MT,216790
IMD,882050
IIIn,745490
PVHd,653210
AD,805570
LT,89420
PAG,398640
FRP,1282600
ADP,497650
VISl,1035210
DT,57260
cbp,5470410
VL-unassigned,10757770
IO,2558790
PL,2325680
AHN,3552970
IP,4299370
Vn,297750
DCO,3060980
TEa,2627030
SEZ,682420
IPN,55250
VCO,5085430
epsc,561820
SOC,976070
ISN,36120
chpl,7230160
SSp-ll,3232860
SOC,1687470
IV,36290
IIn,1555360
PVi,1025180
AIp,2110190
VISl,191200
SOC,1829670
PB,876030
IIn,3486640
PVp,622790
MRN,25716280
V3-unassigned,4455940
LA,4201440
PL,106840
PVpo,738240
IRN,13887390
ENTl,7143870
AQ,2026280
AMB,109400
V4-unassigned,2497830
PRNr,11815270
LC,72430
GU,733150
PVT,2222420
V4r,2308400
LD,5082420
AUDd,922690
IIIn,262300
AON,24317020
LDT,1017380
AIp,4018220
c,2160
PRP,1220190
PL,2619170
RCH,751650
NR,149960
LGv,2028710
GU,2009740
RE,2119770
LH,1723590
GU,2726590
AOB,772270
RH,453470
cst,2803650
LHA,10322540
AOB,786500
RL,274020
cst,336750
SSp-bfd,7580200
MV,9085700
LIN,306480
AOB,1383710
RM,584660
AP,263920
LAV,1437830
LM,387220
ACAd,3021570
RN,3938830
APN,6380120
SUV,1768470
LP,6003430
MOB,25919670
RO,199950
ARH,1424680
SPIV,3745330
LPO,2799880
MOB,5184470
Vn,3481390
RPA,333070
AT,215320
VISal,1014710
TEa,1564090
MOB,5358120
Xn,46560
RPO,485850
AUDd,152300
MOB,25217840
RR,688880
AUDpo,396920
LSc,2818000
AUDp,2361040
AUDd,1715330
AV,2078020
VISpm,759870
LSr,9409580
NLOT,557510
RT,7236800
AVP,462780
LSv,3036180
NLOT,747910
VISpl,1025750
SAG,490950
AVPV,905920
RSPd,3783470
RSPagl,171810
B,77830
VISam,680190
SCH,328880
BAC,38780
ORBvl,2616580
TEa,4746160
BA,124790
ACAv,2511370
MA,1821380
mfbc,1666930
BLA,3848050
PL,2103110
VISp,822360
MARN,2666660
SF,2371570
BLA,3556180
MB-unassigned,33814410
AIp,2178690
SG,86800
MOp,6644910
SubG,134300
SGN,904460
cbp,2268020
BMA,3837110
AId,4627560
RSPd,155050
ASO,31070
SH,184980
BMA,3588830
PERI,269470
IIn,139430
SFO,103580
SI,15135560
AIp,3762880
SBPV,547000
mfsbshy,125140
SLC,133670
BST,6703510
MY-unassigned,26597480
AIp,103150
PST,62280
SLD,236060
MD,6916950
PL,4897190
PSTN,832530
SMT,1531680
PERI,65740
ICB,267340
SNc,983960
VISpl,536370
drt,111560
SNr,7749880
CA1,30
SO,234730
CA1,9628890
VISpl,44010
rust,186800
CA1,17996980
VISam,299290
MEA,10142910
CA1,4681560
ORBl,3105940
VIIIn,1250780
SPFm,350370
CA1,18645110
VISl,925740
SPFp,674590
ECT,2380750
mfbc,41650
SPVC,8404510
RSPv,5064850
CA2,606680
VISam,1137320
RSPd,4862250
mfbc,1348090
SPVI,9241930
CA2,663090
ORBl,2404400
VISam,118130
RSPd,4166200
mfbc,4763680
SPVO,4981850
CA2,299500
ORBl,1877090
mfbc,323520
SSp-ul,2299100
BLA,2097180
MEPO,201300
CA2,809740
AUDpo,88190
SSp-tr,168330
CA3,10
mfbc,7015690
VISpm,139980
STN,973000
CA3,3184860
STR-unassigned,13389110
SSp-ll,2640370
CA3,3343580
VIIIn,1232490
MH,1600140
ORBm,2104210
CA3,10563090
ORBl,218670
CA3,6510990
VISpm,494090
SUB,10486970
CA3,7714900
VIIIn,59230
MOB,21494520
SSp-ll,249120
CB-unassigned,4146310
MPN,2032100
AUDv,1405510
MPO,2777650
SUM,1273610
ENTm,6230500
AUDd,984490
mfbc,187650
MPT,218940
SUT,1298000
In,638950
PERI,1106330
RSPv,4737080
ENTm,6277170
CEA,1546600
RSPd,10
TH-unassigned,4598900
CEA,1298370
cbp,730880
ILA,704780
SSp-n,2021630
CEA,3740030
MS,2075840
VISpm,1435600
TR,7023610
VISl,895420
TRN,3448320
CL,1804680
ACVII,28140
SSp-ul,2615650
cc,5201340
NB,439630
TRS,1779250
ORBm,1584840
CLA,2753690
PAG,461860
ACAv,2391200
RSPv,3298650
CLI,415880
VISp,6317150
mfsbshy,838110
NDB,3699660
TT,3616850
AUDv,230250
CM,1247850
AUDd,1636780
VISal,558370
mfbc,7562680
NI,541150
TT,3587470
ORBvl,1193910
SPA,663140
RSPd,6029950
mfsbshy,238950
NLL,3618920
VISl,1572610
TU,2616080
CUN,2757140
ORBm,2355700
V,1773790
RSPv,241500
SSp-ul,3961490
NOT,1027400
VAL,4085220
ORBl,6034520
DG,7995250
VIIIn,90770
NPC,1448540
GU,2194140
COAa,3837380
NTB,772280
AUDpo,734730
MOp,16364220
VISal,111250
NTS,4244140
VI,151660
SSp-n,2740640
COAp,6011680
MOs,11602130
SSp-m,7486220
VIIIn,4175640
VII,4584490
GU,196720
COAp,6476700
ENTm,4915740
In,4401290
FRP,1163040
SSp-tr,2118670
RSPagl,2536480
CP,130093850
mfsbshy,158710
AIv,839640
AUDd,662540
CS,3008260
ORBvl,48150
mfsbshy,280230
VM,4643650
RSPv,8393750
VLPO,327130
mfsbshy,647670
PERI,841870
VMH,2747270
AIv,2974640
AUDpo,563440
drt,3106560
OLF-unassigned,25093110
AIv,15300
SSp-n,2836830
CTXsp-unassigned,1861220
AIv,1242410
OP,290630
ILA,756260
CU,1665620
VPL,4378370
VISp,5118200
VPLpc,494120
ENTm,4557640
arb,34601790
TEa,2617360
MM,384790
VPM,8223300
AUDp,1874940
VPMpc,1076290
ENTm,3112950
cbc,334680
VTA,2143090
VISpl,968950
mfsbshy,166490
OT,19118430
AUDv,1937380
VTN,187650
AUDpo,370990
OV,43320
x,285260
MOs,22615270
P-unassigned,18010540
ACAv,5012800
XII,1413210
RSPagl,3666210
VISp,7763440
PA,4833290
y,117380
AId,3908620
cst,421080
TEa,448790
PAA,5958060
AUDpo,906750
Vn,8108830
PAG,21544370
ZI,7794640
VIIn,395170
AIv,3602160
mfsbshy,1353500
PAL-unassigned,5628100
ZI,1204070
VISpm,953250
SSs,10731170
ACAv,1816960
IC,5632870
cbp,231600
DP,2523600
AUDp,1174630
ACAv,310310
IC,6619010
VISp,9995200
ILA,1681050
IC,9975950
DMH,1880310
AId,241410
IIIn,39120
SCs,1806210
ECT,1292600
SSp-n,3204680
DMX,870970
VIIIn,1719030
SCs,5764120
PAR,4664380
MOp,14382140
DN,1674920
AUDp,3569460
IIn,351390
VISC,260790
cbp,425340
SCs,3211940
PARN,11153070
SSp-ul,4894780
VISC,2673780
PAS,139540
SSs,10365740
rust,2842450
cbp,1420870
PB,4732290
VISpl,183190
DR,764460
SSs,6190320
PBG,223820
SSp-m,3903060
DTN,518670
MOp,918940
mfbc,817470
PERI,1665550
SSp-n,4024040
SSs,1040180
VISC,1675350
PCG,2707110
In,3703870
VISpl,1214060
ECU,1023620
VISal,996570
RSPagl,2061190
PCN,1190560
mfbc,1060280
ORBm,933560
IVn,34020
LING,608140
PD,58330
IIn,1003880
ACAd,3494640
cst,4428620
ACAd,123580
SSp-n,267580
PF,2429970
PG,4825230
ACAd,3029270
DEC,16673740
AMB,106040
mfbc,6328710
MOp,18446460
FOTU,5266990
SSp-ul,4710070
PH,3535570
von,67140
SSp-m,4743750
PYR,6240090
EPd,9098910
AUDp,1488680
LRN,2564290
cc,4284080
UVU,10957670
AUDv,1426550
PIR,57834070
MOs,19021160
LRN,284380
cc,466690
RSPagl,3349730
EPv,4863610
NOD,7595490
ORBvl,1925570
PGRNd,1196540
cc,8091870
VISl,1507940
SSp-m,6085400
EW,127290
CENT,6678300
ECT,1942070
PGRNl,3538470
PMd,661050
SSp-bfd,4197500
FC,311050
CENT,13718800
cc,4715140
ECT,2649010
FN,2510180
AUDv,1068080
AId,2297730
brain-unassigned,17821600
FS,2142340
PMv,975110
AUDp,276230
SSp-tr,1028200
SIM,28480240
fiber tracts-unassigned,7752960
VISC,906650
ACAd,5987610
In,20758860
PO,6263090
MOs,11888650
GPe,7824080
AUDv,3023340
PRM,24416110
SSp-ul,366220
POL,1027450
SSp-ll,1497860
GPi,2117890
COPY,12530800
SSs,5835820
POST,5421590
SSp-bfd,6480220
GR,408120
PFL,28645700
tsp,2521570
PP,305720
ECT,296760
VISam,693100
SSp-bfd,6408020
GRN,13118770
FL,6686330
tsp,20
PPN,4462430
ILA,1025380
AN,28468900
VISC,3532170
tsp,32140
PPT,724150
SSp-bfd,732770
AN,25559260
VISam,1034760
PPY,472380
SSp-bfd,6040190
MG,865450
VISal,589460
PR,756620
MG,1382220
ILA,54140
PRE,4583450
MOs,367930
SSp-tr,763730
MG,1251550
HPF-unassigned,2105170
SSs,10927580
CUL,33628880
lfbst,595220
PRNc,11745240
SSp-ll,1364120
AM,1221350
HY-unassigned,13796800
MDRN,5525820
AId,7547930
SSp-m,8258400
AM,831760
IA,913570
VISC,2699060
MDRN,4655650
cc,4146830
PS,483350
SSp-tr,1765030
IAD,557790
VISal,520760
VIIn,145140
IAM,216860
ENTl,4895710
cbp,3612610
ORBvl,3099720
TMd,178530
TEa,3507980
SSp-ll,2776300
NLOT,291980
ME,407750
DG,21534770
DG,3457510
SSp-un,831200
SSp-un,1657380
SSp-un,939650
SSp-un,1289890
SSp-un,1470710
SSp-un,122830
VISa,1198370
VISa,2133590
VISa,774000
VISa,1776190
VISa,1116870
VISa,196800
VISli,370760
VISli,586260
VISli,286280
VISli,739730
VISli,396720
VISli,80680
VISrl,853700
VISrl,1381950
VISrl,731470
VISrl,1221470
VISrl,757140
VISrl,142590
VISpor,1248220
VISpor,1869860
VISpor,303160
VISpor,1925840
VISpor,901310
VISpor,163630
ProS,6640790
APr,1633170
scwm-unassigned,9811150
cc,15527310
lfbst,1062760
lfbst,579320
mfbc,175640
LGd,1036520
LGd,2095860
LGd,479250
FRP,1857920
FRP,561110
FRP,4710
ORBm,18540
RPF,310840
MA3,81780
P5,1607070
Acs5,69560
PC5,353540
I5,222520
Eth,1178560
Xi,438330
PIL,878220
PoT,1398010
IntG,112500
VMPO,250640
PeF,1071270
HATA,2108900
Pa5,513170
VeCB,425730
SCO,72390
PDTg,240140
MM,1063290
MM,678920
MM,189390
MM,384290
Pa4,80830
PN,108680
IPN,401700
IPN,342350
IPN,125540
IPN,310060
IPN,159640
IPN,95350
IPN,189600
IPN,95370
PAG,210560
