Column Name,Notes
Ipsilateral root,Other
Contralateral root,Other
Contralateral NI,P-sat
Ipsilateral sctd,Other
Contralateral ICc,MB
Contralateral PH,HY
Contralateral PRC,MB
Ipsilateral NI,P-sat
Contralateral mtg,HY
Ipsilateral EW,MB
Contralateral INC,MB
Contralateral SPA,TH
Contralateral SPFm,TH
Contralateral mtt,HY
Contralateral LD,TH
Contralateral LP,TH
Contralateral VPL,TH
Contralateral VAL,TH
Contralateral RT,TH
Contralateral AV,TH
Contralateral em,TH
Contralateral STN,TH
Ipsilateral AQ,CB
Contralateral RL,MB
Contralateral vtd,MB
Contralateral dtd,MB
Contralateral SCdg,MB
Contralateral SCdw,MB
Ipsilateral LHA,HY
Contralateral DMH,HY
Contralateral PMv,HY
Contralateral LHA,HY
Ipsilateral ARH,HY
Ipsilateral RCH,HY
Ipsilateral MEA,CNU
Ipsilateral och,Other
Ipsilateral opt,Other
Ipsilateral PS,HY
Contralateral MEPO,HY
Ipsilateral MS,CNU
Contralateral ADP,HY
Contralateral OV,HY
Ipsilateral MEPO,HY
Ipsilateral PVH,HY
Ipsilateral PVHd,HY
Ipsilateral PMd,HY
Contralateral AVPV,HY
Ipsilateral PD,HY
Ipsilateral LPO,HY
Ipsilateral LSr,CNU
Contralateral PVH,HY
Ipsilateral NLOT2,CTX
Ipsilateral COAa,CTX
Contralateral PVpo,HY
Contralateral NDB,CNU
Contralateral AP,MY-sen
Contralateral tb,Other
Ipsilateral PG,P-mot
Contralateral PG,P-mot
Ipsilateral Pa5,MY-sen
Contralateral PFL,CB
Contralateral FOTU,CB
Contralateral cuf,Other
Ipsilateral RR,MB
Ipsilateral III,MB
Ipsilateral SCH,HY
Contralateral SCH,HY
Contralateral RCH,HY
Contralateral TU,HY
Ipsilateral RE,TH
Contralateral Xi,TH
Contralateral RE,TH
Ipsilateral V4r,Other
