cell,soma location
AA0434,IRN
AA0503,PARN
AA0947,IRN
AA1196,IRN
AA1313,IRN
AA1329,PARN
AA1331,PARN
AA1332,PARN
AA1348,SPVI
AA1349,SPVI
AA1405,PARN
AA1460,PARN
AA1513,IRN
AA1514,SPVO
AA1518,PARN
AA1521,IRN
AA1535,IRN
N004-674185-DS,PARN
N012-674185-PG,PGRN
N016-715345-HD,IRN
N017-715345-YV,IRN
N022-674185-HD,IRN
N022-706301-KA,PARN
N023-706301-KA,IRN
N023-715346-PC,PARN
N024-715345-SA,IRN
N031-674185-FMR,PARN
N031-715345-DS,PARN
N032-674185-IB,PARN
N034-674191-IB,IRN
N035-674191-FMR,PARN
N036-674191-SP,IRN
N037-674185-IB,IRN
N039-674185-IB,PARN
N039-715345-DS,PGRN
N041-674191-AR,IRN
N042-674185-SP,PARN
N044-674191-SP,IRN
N046-658735-AR,IRN
N051-715345-SA,IRN
N052-653159-HD,IRN
N053-653159-YP,IRN
N054-715345-AP,IRN
N056-686955-JN,PARN
N057-686955-SA,PARN
N058-653159-PC,IRN
N059-653159-AK,IRN
N059-665081-KA,PARN
N063-665081-AS,IRN
N064-665081-JN,IRN
N065-665081-VM,PGRN
N066-665081-YP,IRN
N066-685221-JN,PGRN
N067-685221-HS,IRN
N086-686955-HD,PARN
N090-686955-LS,PARN
N090-708369-VM,IRN
N108-708369-VM,PARN
N112-708369-JN,PARN
N113-708369-JN,PARN
N114-708369-HS,PARN
N115-708369-BP,IRN
N123-708369-HS,PGRN
N126-708369-HD,IRN
N128-708369-HS,PGRN
N129-708369-YP,PGRN
N130-708369-YP,PARN
N132-708369-SA,IRN
N136-708369-SA,PGRN
N002-703070,IRN
N003-703070,PARN
N004-703070,IRN
N005-674185,PARN
N006-703070,IRN
N007-703070,IRN
N008-653980,IRN
N009-653980,IRN
N010-651324,IRN
N010-703070,IRN
N011-703070,IRN
N012-703070,IRN
N013-653980,MY
N013-703070,IRN
N014-703070,PARN
N015-703070,PARN
N016-651324,IRN
N016-703070,IRN
N017-703070,IRN
N018-703070,IRN
N019-675375,IRN
N019-703070,IRN
N020-703070,IRN
N021-703070,IRN
N022-703070,IRN
N022-715347,PARN
N023-703070,PARN
N024-703070,PARN
N026-703070,PARN
N027-703070,IRN
N029-703070,PARN
N030-651895,IRN
N030-703070,PARN
N031-651895,IRN
N031-703070,PARN
N032-703070,PARN
N038-674185,LIN
N043-674185,IRN
N044-674191,IRN
N061-665081,GRN
N067-665081,PARN
N068-685221,LRN
N102-708369,IRN
N103-708369,IRN
N105-708369,IRN
N111-708369,IRN
N127-708369,IRN
